_RAJ2000;_DEJ2000;Name;GLON;GLAT;z;Mbh;e_Mbh;Dist;SimbadName;NED;_RA.icrs;_DE.icrs
336.5455324;-31.1452986;NGC 7277               ;016.87852;-58.16909; 0.01335;  60.047;  30.023; 54.8;NGC 7277               ;NED;336.54553;-31.14530
199.0712350;+25.4065132;IC 4215                ;017.14821;+84.17052; 0.01305;  68.193;  34.097; 53.6;IC 4215                ;NED;199.07123;+25.40651
251.8052575;-00.2754754;NGC 6220               ;017.31277;+27.18737; 0.02303; 410.605; 205.303; 94.6;NGC 6220               ;NED;251.80526;-00.27548
246.5177086;+02.9065794;CGCG 052-015           ;017.32332;+33.35678; 0.00516;  12.502;   6.251; 21.2;Z 052-015              ;NED;246.51771;+02.90658
227.8667451;+13.4834913;UGC 09758              ;017.33966;+54.60693; 0.02206; 260.951; 130.476; 90.6;UGC 09758              ;NED;227.86674;+13.48349
314.2405444;-27.9661674;ESO 464- G 001         ;017.53545;-38.54700; 0.01955; 210.449; 105.225; 80.3;ESO 464- G 001         ;NED;314.24054;-27.96617
213.2859670;+20.4162361;NGC 5513               ;017.54579;+70.16940; 0.01665; 316.575; 158.288; 68.4;NGC 5513               ;NED;213.28597;+20.41624
332.8126175;-30.5607159;NGC 7221               ;017.59613;-54.93578; 0.01454; 287.831; 143.915; 59.7;NGC 7221               ;NED;332.81262;-30.56072
255.4633786;-01.8990861;CGCG 025-018           ;017.84597;+23.21501; 0.02451; 226.663; 113.331;100.7;Z 025-018              ;NED;255.46338;-01.89909
298.8028700;-23.2728978;ESO 526- G 016         ;017.93774;-23.87491; 0.01989; 153.049;  76.525; 81.7;ESO 526- G 016         ;NED;298.80287;-23.27290
263.9161481;-06.5993593;2MASX J17353988-0635577;018.07018;+13.56808; 0.02134; 288.922; 144.461; 87.7;2MASX J17353988-0635577;NED;263.91615;-06.59936
326.9036866;-29.6933469;MCG -05-51-015         ;018.08862;-49.76134; 0.02320; 187.570;  93.785; 95.3;MCG -05-51-015         ;NED;326.90369;-29.69335
