_RAJ2000;_DEJ2000;FFF98;xpos;ypos;MType;n;F814W;Vzmag;F606W-F814W;(B-V)z;rc;M;_RA;_DE
209.9476553;+62.4961383;1475; -19.9; -76.9;S0  ;4;19.99;20.89; 1.188; 0.844; 1.82;M;209.94766;+62.49614
210.0433078;+62.5011972;1487; 139.1; -58.6;Irr ;1;22.75;23.56; 0.717; 0.458; 1.27;M;210.04331;+62.50120
209.9130008;+62.5012422;1494; -77.5; -58.5;S0  ;1;21.34;22.25; 1.194; 0.849; 0.64;M;209.91300;+62.50124
210.0090856;+62.5064914;1524;  82.2; -39.6;S0  ;1;21.01;21.91; 1.181; 0.838; 0.66;M;210.00909;+62.50649
209.9217117;+62.5109117;1563; -63.0; -23.7;?   ;3;19.95;20.80; 0.976; 0.670; 0.56;M;209.92171;+62.51091
209.9467456;+62.5134161;1594; -21.4; -14.7;?   ;4;21.72;22.60; 1.138; 0.803; 0.60;M;209.94675;+62.51342
210.0170464;+62.5160717;1604;  95.4;  -5.1;?   ;1;21.81;22.70; 1.160; 0.821; 0.66;M;210.01705;+62.51607
209.9781039;+62.5169711;1616;  30.7;  -1.9;?   ;4;21.15;22.04; 1.145; 0.809; 0.56;M;209.97810;+62.51697
210.0152500;+62.5210444;1630;  92.4;  12.8;Irr ;1;21.37;22.18; 0.857; 0.573; 0.79;M;210.01525;+62.52104
210.0027314;+62.5231878;1649;  71.6;  20.5;S0  ;3;20.72;21.60; 1.153; 0.816; 0.41;M;210.00273;+62.52319
209.9139097;+62.5362703;1731; -75.9;  67.6;E   ;2;20.87;21.74; 1.165; 0.825; 0.58;M;209.91391;+62.53627
210.0300550;+62.5446489;1775; 116.9;  97.8;S0  ;3;20.84;21.74; 1.130; 0.797; 1.42;M;210.03005;+62.54465
210.0160283;+62.5505164;1806;  93.6; 118.9;S0  ;2;20.99;21.88; 1.168; 0.828; 0.58;M;210.01603;+62.55052
210.0065094;+62.5519089;1816;  77.8; 123.9;E/S0;2;21.33;22.22; 1.137; 0.802; 0.78;M;210.00651;+62.55191
210.0420097;+62.5538925;1829; 136.7; 131.1;Irr ;3;21.82;22.62; 0.689; 0.435; 0.42;M;210.04201;+62.55389
209.9509464;+62.5546664;1842; -14.4; 133.8;S0  ;2;21.40;22.27; 1.055; 0.735; 1.06;M;209.95095;+62.55467
209.9133353;+62.5569644;1859; -76.8; 142.1;S0  ;3;21.12;22.01; 1.163; 0.824; 0.51;M;209.91334;+62.55696
210.0265908;+62.5581506;1865; 111.1; 146.4;?   ;4;20.69;21.58; 1.129; 0.796; 1.33;M;210.02659;+62.55815
209.9694500;+62.5583886;1871;  16.3; 147.2;E   ;3;19.31;20.21; 1.240; 0.887; 4.29;M;209.96945;+62.55839
210.0434236;+62.5638083;1897; 139.0; 166.8;S0  ;2;20.73;21.61; 1.216; 0.867; 0.80;M;210.04342;+62.56381
210.0443772;+62.5810856;1978; 140.5; 229.0;S0  ;1;21.38;22.27; 1.252; 0.897; 0.74;M;210.04438;+62.58109

